The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
13708 2945 7302 9312
[TEST ] 1 ----------------
13618 3035 6659 9955
[TEST ] 2 ----------------
12689 3964 5397 11217
[TEST ] 3 ----------------
13202 3451 5906 10708
[TEST ] 4 ----------------
13165 3488 5568 11046
[TEST ] 5 ----------------
12854 3799 5329 11285
[TEST ] 6 ----------------
13394 3259 5586 11028
[TEST ] 7 ----------------
14425 2228 6659 9955
[TEST ] 8 ----------------
13381 3272 5385 11229
[TEST ] 9 ----------------
14614 2039 6735 9879
[TEST ] 10 ----------------
13495 3158 5420 11194
[TEST ] 11 ----------------
14743 1910 6816 9798
[TEST ] 12 ----------------
13675 2978 5491 11123
[TEST ] 13 ----------------
11932 4721 3925 12689
[TEST ] 14 ----------------
13459 3194 5194 11420
[TEST ] 15 ----------------
13536 3117 5327 11287
[TEST ] 16 ----------------
13699 2954 5422 11192
[TEST ] 17 ----------------
14556 2097 6421 10193
[TEST ] 18 ----------------
13225 3428 5025 11589
[TEST ] 19 ----------------
14296 2357 6045 10569
[TEST ] 20 ----------------
13870 2783 5512 11102
[TEST ] 21 ----------------
14120 2533 5784 10830
[TEST ] 22 ----------------
13796 2857 5445 11169
[TEST ] 23 ----------------
13315 3338 4893 11721
[TEST ] 24 ----------------
13587 3066 5135 11479
[TEST ] 25 ----------------
13295 3358 4862 11752
[TEST ] 26 ----------------
14119 2534 5747 10867
[TEST ] 27 ----------------
13118 3535 4742 11872
[TEST ] 28 ----------------
13277 3376 4831 11783
[TEST ] 29 ----------------
13371 3282 4866 11748
[TEST ] 30 ----------------
13418 3235 5001 11613
[TEST ] 31 ----------------
13328 3325 4865 11749
[TEST ] 32 ----------------
14263 2390 5865 10749
[TEST ] 33 ----------------
13589 3064 5104 11510
[TEST ] 34 ----------------
13178 3475 4693 11921
[TEST ] 35 ----------------
13705 2948 5226 11388
[TEST ] 36 ----------------
14086 2567 5737 10877
[TEST ] 37 ----------------
13155 3498 4672 11942
[TEST ] 38 ----------------
13965 2688 5491 11123
[TEST ] 39 ----------------
13641 3012 5152 11462
[TEST ] 40 ----------------
13472 3181 4961 11653
[TEST ] 41 ----------------
12863 3790 4430 12184
[TEST ] 42 ----------------
13445 3208 4976 11638
[TEST ] 43 ----------------
13355 3298 4840 11774
[TEST ] 44 ----------------
13716 2937 5183 11431
[TEST ] 45 ----------------
12775 3878 4327 12287
[TEST ] 46 ----------------
13656 2997 5113 11501
[TEST ] 47 ----------------
13806 2847 5365 11249
[TEST ] 48 ----------------
13717 2936 5223 11391
[TEST ] 49 ----------------
13227 3426 4716 11898
[TEST ] 50 ----------------
13164 3489 4745 11869
[TEST ] 51 ----------------
12853 3800 4393 12221
[TEST ] 52 ----------------
13194 3459 4745 11869
[TEST ] 53 ----------------
12942 3711 4459 12155
[TEST ] 54 ----------------
13111 3542 4691 11923
[TEST ] 55 ----------------
13397 3256 4867 11747
[TEST ] 56 ----------------
13612 3041 5133 11481
[TEST ] 57 ----------------
13234 3419 4737 11877
[TEST ] 58 ----------------
12584 4069 4211 12403
[TEST ] 59 ----------------
13283 3370 4843 11771
[TEST ] 60 ----------------
13276 3377 4809 11805
[TEST ] 61 ----------------
13355 3298 4954 11660
[TEST ] 62 ----------------
13049 3604 4592 12022
[TEST ] 63 ----------------
13304 3349 4820 11794
[TEST ] 64 ----------------
13470 3183 4968 11646
