The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
14787 1866 8657 7957
[TEST ] 1 ----------------
11677 4976 4687 11927
[TEST ] 2 ----------------
14309 2344 6985 9629
[TEST ] 3 ----------------
14183 2470 6566 10048
[TEST ] 4 ----------------
12175 4478 4496 12118
[TEST ] 5 ----------------
14232 2421 6489 10125
[TEST ] 6 ----------------
13323 3330 5375 11239
[TEST ] 7 ----------------
14253 2400 6284 10330
[TEST ] 8 ----------------
13204 3449 4978 11636
[TEST ] 9 ----------------
13110 3543 5011 11603
[TEST ] 10 ----------------
14143 2510 5914 10700
[TEST ] 11 ----------------
13682 2971 5406 11208
[TEST ] 12 ----------------
13672 2981 5417 11197
[TEST ] 13 ----------------
13394 3259 5082 11532
[TEST ] 14 ----------------
13442 3211 5142 11472
[TEST ] 15 ----------------
13346 3307 5014 11600
[TEST ] 16 ----------------
13148 3505 4866 11748
[TEST ] 17 ----------------
13626 3027 5293 11321
[TEST ] 18 ----------------
13111 3542 4878 11736
[TEST ] 19 ----------------
12863 3790 4603 12011
[TEST ] 20 ----------------
13119 3534 4817 11797
[TEST ] 21 ----------------
13354 3299 5049 11565
[TEST ] 22 ----------------
13669 2984 5410 11204
[TEST ] 23 ----------------
13144 3509 4903 11711
[TEST ] 24 ----------------
12798 3855 4552 12062
[TEST ] 25 ----------------
13418 3235 5156 11458
[TEST ] 26 ----------------
13493 3160 5197 11417
[TEST ] 27 ----------------
12968 3685 4734 11880
[TEST ] 28 ----------------
13289 3364 4936 11678
[TEST ] 29 ----------------
12950 3703 4777 11837
[TEST ] 30 ----------------
13095 3558 4953 11661
[TEST ] 31 ----------------
12444 4209 4349 12265
[TEST ] 32 ----------------
13365 3288 5070 11544
[TEST ] 33 ----------------
12663 3990 4454 12160
[TEST ] 34 ----------------
12937 3716 4650 11964
[TEST ] 35 ----------------
13186 3467 4943 11671
[TEST ] 36 ----------------
13507 3146 5218 11396
[TEST ] 37 ----------------
12843 3810 4658 11956
[TEST ] 38 ----------------
12377 4276 4257 12357
[TEST ] 39 ----------------
12783 3870 4684 11930
[TEST ] 40 ----------------
12936 3717 4779 11835
[TEST ] 41 ----------------
12366 4287 4336 12278
[TEST ] 42 ----------------
13188 3465 4950 11664
[TEST ] 43 ----------------
12934 3719 4749 11865
[TEST ] 44 ----------------
12868 3785 4692 11922
[TEST ] 45 ----------------
13352 3301 5132 11482
[TEST ] 46 ----------------
12940 3713 4897 11717
[TEST ] 47 ----------------
13008 3645 4753 11861
[TEST ] 48 ----------------
12563 4090 4466 12148
[TEST ] 49 ----------------
12663 3990 4539 12075
[TEST ] 50 ----------------
12678 3975 4575 12039
[TEST ] 51 ----------------
12898 3755 4743 11871
[TEST ] 52 ----------------
13436 3217 5187 11427
[TEST ] 53 ----------------
12805 3848 4643 11971
[TEST ] 54 ----------------
13160 3493 5013 11601
[TEST ] 55 ----------------
13138 3515 4964 11650
[TEST ] 56 ----------------
13022 3631 4908 11706
[TEST ] 57 ----------------
12627 4026 4571 12043
[TEST ] 58 ----------------
12812 3841 4689 11925
[TEST ] 59 ----------------
12870 3783 4801 11813
[TEST ] 60 ----------------
12926 3727 4873 11741
[TEST ] 61 ----------------
13079 3574 4893 11721
[TEST ] 62 ----------------
13192 3461 5061 11553
[TEST ] 63 ----------------
12849 3804 4763 11851
[TEST ] 64 ----------------
12737 3916 4725 11889
[TEST ] 65 ----------------
12686 3967 4617 11997
[TEST ] 66 ----------------
12851 3802 4713 11901
[TEST ] 67 ----------------
12813 3840 4766 11848
[TEST ] 68 ----------------
12869 3784 4750 11864
[TEST ] 69 ----------------
12912 3741 4766 11848
[TEST ] 70 ----------------
12566 4087 4518 12096
[TEST ] 71 ----------------
13291 3362 5124 11490
[TEST ] 72 ----------------
12352 4301 4374 12240
[TEST ] 73 ----------------
12343 4310 4280 12334
[TEST ] 74 ----------------
12655 3998 4528 12086
[TEST ] 75 ----------------
12513 4140 4485 12129
[TEST ] 76 ----------------
12825 3828 4691 11923
