The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
14303 2350 8067 8547
[TEST ] 1 ----------------
14638 2015 7733 8881
[TEST ] 2 ----------------
13092 3561 5774 10840
[TEST ] 3 ----------------
13543 3110 5869 10745
[TEST ] 4 ----------------
12382 4271 4496 12118
[TEST ] 5 ----------------
13229 3424 5308 11306
[TEST ] 6 ----------------
12809 3844 4730 11884
[TEST ] 7 ----------------
14271 2382 6165 10449
[TEST ] 8 ----------------
14078 2575 5934 10680
[TEST ] 9 ----------------
13360 3293 5108 11506
[TEST ] 10 ----------------
12388 4265 4234 12380
[TEST ] 11 ----------------
13084 3569 4804 11810
[TEST ] 12 ----------------
13705 2948 5263 11351
[TEST ] 13 ----------------
13293 3360 4920 11694
[TEST ] 14 ----------------
12888 3765 4534 12080
[TEST ] 15 ----------------
13061 3592 4725 11889
[TEST ] 16 ----------------
13374 3279 5034 11580
[TEST ] 17 ----------------
12595 4058 4376 12238
[TEST ] 18 ----------------
13161 3492 4978 11636
[TEST ] 19 ----------------
13238 3415 4995 11619
[TEST ] 20 ----------------
13548 3105 5217 11397
[TEST ] 21 ----------------
13364 3289 5037 11577
[TEST ] 22 ----------------
12856 3797 4638 11976
[TEST ] 23 ----------------
13408 3245 5111 11503
[TEST ] 24 ----------------
13238 3415 4998 11616
[TEST ] 25 ----------------
13186 3467 4921 11693
[TEST ] 26 ----------------
12886 3767 4686 11928
[TEST ] 27 ----------------
13192 3461 5034 11580
[TEST ] 28 ----------------
12642 4011 4496 12118
[TEST ] 29 ----------------
12915 3738 4717 11897
[TEST ] 30 ----------------
12354 4299 4267 12347
[TEST ] 31 ----------------
12608 4045 4440 12174
[TEST ] 32 ----------------
13000 3653 4724 11890
[TEST ] 33 ----------------
12763 3890 4520 12094
[TEST ] 34 ----------------
12717 3936 4653 11961
[TEST ] 35 ----------------
12841 3812 4725 11889
[TEST ] 36 ----------------
13373 3280 5126 11488
[TEST ] 37 ----------------
12687 3966 4550 12064
[TEST ] 38 ----------------
11981 4672 4091 12523
[TEST ] 39 ----------------
12996 3657 4814 11800
[TEST ] 40 ----------------
12773 3880 4658 11956
[TEST ] 41 ----------------
12543 4110 4500 12114
[TEST ] 42 ----------------
12747 3906 4525 12089
[TEST ] 43 ----------------
12926 3727 4717 11897
[TEST ] 44 ----------------
12689 3964 4595 12019
[TEST ] 45 ----------------
13088 3565 4847 11767
[TEST ] 46 ----------------
12678 3975 4548 12066
[TEST ] 47 ----------------
12680 3973 4657 11957
[TEST ] 48 ----------------
12854 3799 4768 11846
[TEST ] 49 ----------------
12679 3974 4558 12056
[TEST ] 50 ----------------
12864 3789 4733 11881
[TEST ] 51 ----------------
12642 4011 4522 12092
[TEST ] 52 ----------------
12448 4205 4377 12237
[TEST ] 53 ----------------
12680 3973 4494 12120
[TEST ] 54 ----------------
12726 3927 4595 12019
[TEST ] 55 ----------------
12838 3815 4670 11944
[TEST ] 56 ----------------
12662 3991 4591 12023
[TEST ] 57 ----------------
13003 3650 4770 11844
[TEST ] 58 ----------------
12908 3745 4686 11928
[TEST ] 59 ----------------
12855 3798 4712 11902
[TEST ] 60 ----------------
12777 3876 4700 11914
[TEST ] 61 ----------------
12686 3967 4645 11969
[TEST ] 62 ----------------
12395 4258 4341 12273
[TEST ] 63 ----------------
13244 3409 4975 11639
[TEST ] 64 ----------------
12782 3871 4692 11922
[TEST ] 65 ----------------
12412 4241 4371 12243
[TEST ] 66 ----------------
12606 4047 4437 12177
[TEST ] 67 ----------------
12301 4352 4359 12255
[TEST ] 68 ----------------
13016 3637 4822 11792
[TEST ] 69 ----------------
12106 4547 4209 12405
[TEST ] 70 ----------------
12267 4386 4207 12407
[TEST ] 71 ----------------
12917 3736 4676 11938
[TEST ] 72 ----------------
12628 4025 4545 12069
[TEST ] 73 ----------------
12581 4072 4518 12096
[TEST ] 74 ----------------
12575 4078 4564 12050
[TEST ] 75 ----------------
12535 4118 4456 12158
[TEST ] 76 ----------------
12812 3841 4604 12010
[TEST ] 77 ----------------
12964 3689 4834 11780
[TEST ] 78 ----------------
12768 3885 4698 11916
[TEST ] 79 ----------------
12295 4358 4424 12190
[TEST ] 80 ----------------
12849 3804 4707 11907
[TEST ] 81 ----------------
12672 3981 4556 12058
[TEST ] 82 ----------------
12655 3998 4564 12050
[TEST ] 83 ----------------
12840 3813 4738 11876
[TEST ] 84 ----------------
12523 4130 4498 12116
[TEST ] 85 ----------------
12895 3758 4686 11928
[TEST ] 86 ----------------
12493 4160 4378 12236
[TEST ] 87 ----------------
12891 3762 4614 12000
[TEST ] 88 ----------------
12750 3903 4654 11960
[TEST ] 89 ----------------
12800 3853 4654 11960
[TEST ] 90 ----------------
12235 4418 4290 12324
[TEST ] 91 ----------------
12588 4065 4517 12097
[TEST ] 92 ----------------
12461 4192 4401 12213
[TEST ] 93 ----------------
13070 3583 4859 11755
[TEST ] 94 ----------------
12153 4500 4167 12447
[TEST ] 95 ----------------
12819 3834 4649 11965
[TEST ] 96 ----------------
12557 4096 4421 12193
[TEST ] 97 ----------------
12349 4304 4336 12278
[TEST ] 98 ----------------
12629 4024 4581 12033
[TEST ] 99 ----------------
12977 3676 4862 11752
[TEST ] 100 ----------------
12999 3654 4917 11697
[TEST ] 101 ----------------
12431 4222 4443 12171
[TEST ] 102 ----------------
12617 4036 4590 12024
[TEST ] 103 ----------------
12679 3974 4621 11993
[TEST ] 104 ----------------
12987 3666 4751 11863
[TEST ] 105 ----------------
12853 3800 4795 11819
[TEST ] 106 ----------------
12377 4276 4319 12295
[TEST ] 107 ----------------
12066 4587 4167 12447
[TEST ] 108 ----------------
12603 4050 4445 12169
[TEST ] 109 ----------------
12406 4247 4388 12226
[TEST ] 110 ----------------
12862 3791 4699 11915
[TEST ] 111 ----------------
12466 4187 4380 12234
[TEST ] 112 ----------------
12681 3972 4544 12070
[TEST ] 113 ----------------
12503 4150 4416 12198
[TEST ] 114 ----------------
12867 3786 4726 11888
[TEST ] 115 ----------------
12871 3782 4779 11835
[TEST ] 116 ----------------
12497 4156 4436 12178
[TEST ] 117 ----------------
12785 3868 4618 11996
[TEST ] 118 ----------------
12587 4066 4483 12131
[TEST ] 119 ----------------
12490 4163 4397 12217
[TEST ] 120 ----------------
12349 4304 4366 12248
[TEST ] 121 ----------------
12479 4174 4400 12214
[TEST ] 122 ----------------
12808 3845 4686 11928
[TEST ] 123 ----------------
12547 4106 4442 12172
[TEST ] 124 ----------------
12620 4033 4497 12117
[TEST ] 125 ----------------
12900 3753 4747 11867
[TEST ] 126 ----------------
12130 4523 4166 12448
[TEST ] 127 ----------------
12419 4234 4415 12199
[TEST ] 128 ----------------
12228 4425 4292 12322
[TEST ] 129 ----------------
12800 3853 4667 11947
[TEST ] 130 ----------------
12536 4117 4416 12198
[TEST ] 131 ----------------
12429 4224 4345 12269
[TEST ] 132 ----------------
12506 4147 4375 12239
[TEST ] 133 ----------------
12340 4313 4305 12309
[TEST ] 134 ----------------
12545 4108 4415 12199
[TEST ] 135 ----------------
12464 4189 4318 12296
[TEST ] 136 ----------------
12438 4215 4391 12223
[TEST ] 137 ----------------
12785 3868 4657 11957
[TEST ] 138 ----------------
12055 4598 4061 12553
[TEST ] 139 ----------------
12554 4099 4467 12147
[TEST ] 140 ----------------
12692 3961 4586 12028
[TEST ] 141 ----------------
12639 4014 4480 12134
[TEST ] 142 ----------------
12620 4033 4417 12197
[TEST ] 143 ----------------
12113 4540 4186 12428
[TEST ] 144 ----------------
12552 4101 4459 12155
[TEST ] 145 ----------------
12366 4287 4308 12306
[TEST ] 146 ----------------
12396 4257 4316 12298
[TEST ] 147 ----------------
12494 4159 4494 12120
[TEST ] 148 ----------------
12676 3977 4606 12008
[TEST ] 149 ----------------
12861 3792 4725 11889
[TEST ] 150 ----------------
12339 4314 4360 12254
[TEST ] 151 ----------------
