The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
16620 33 16567 47
[TEST ] 1 ----------------
430 16223 488 16126
[TEST ] 2 ----------------
12989 3664 13523 3091
[TEST ] 3 ----------------
16240 413 16255 359
[TEST ] 4 ----------------
388 16265 713 15901
[TEST ] 5 ----------------
0 16653 0 16614
[TEST ] 6 ----------------
6028 10625 5610 11004
[TEST ] 7 ----------------
15259 1394 15493 1121
[TEST ] 8 ----------------
15871 782 15908 706
[TEST ] 9 ----------------
3022 13631 4461 12153
[TEST ] 10 ----------------
431 16222 457 16157
[TEST ] 11 ----------------
156 16497 107 16507
[TEST ] 12 ----------------
7312 9341 6875 9739
[TEST ] 13 ----------------
16653 0 16614 0
[TEST ] 14 ----------------
11452 5201 11120 5494
[TEST ] 15 ----------------
16105 548 16093 521
[TEST ] 16 ----------------
16637 16 16603 11
[TEST ] 17 ----------------
16652 1 16614 0
[TEST ] 18 ----------------
4320 12333 4354 12260
[TEST ] 19 ----------------
1824 14829 1807 14807
[TEST ] 20 ----------------
231 16422 171 16443
[TEST ] 21 ----------------
13961 2692 13502 3112
[TEST ] 22 ----------------
1032 15621 798 15816
[TEST ] 23 ----------------
79 16574 42 16572
[TEST ] 24 ----------------
12332 4321 12971 3643
[TEST ] 25 ----------------
13391 3262 13893 2721
[TEST ] 26 ----------------
15951 702 16196 418
[TEST ] 27 ----------------
15601 1052 15851 763
[TEST ] 28 ----------------
5 16648 35 16579
[TEST ] 29 ----------------
16651 2 16613 1
[TEST ] 30 ----------------
19 16634 114 16500
[TEST ] 31 ----------------
662 15991 1290 15324
[TEST ] 32 ----------------
16104 549 16152 462
[TEST ] 33 ----------------
6794 9859 8552 8062
[TEST ] 34 ----------------
2580 14073 3643 12971
[TEST ] 35 ----------------
13791 2862 14269 2345
[TEST ] 36 ----------------
9340 7313 9233 7381
[TEST ] 37 ----------------
14909 1744 14764 1850
[TEST ] 38 ----------------
14637 2016 13787 2827
[TEST ] 39 ----------------
15057 1596 14656 1958
[TEST ] 40 ----------------
16653 0 16614 0
[TEST ] 41 ----------------
3851 12802 4577 12037
[TEST ] 42 ----------------
1 16652 4 16610
[TEST ] 43 ----------------
118 16535 118 16496
[TEST ] 44 ----------------
16653 0 16614 0
[TEST ] 45 ----------------
4 16649 1 16613
[TEST ] 46 ----------------
0 16653 0 16614
[TEST ] 47 ----------------
16653 0 16614 0
[TEST ] 48 ----------------
0 16653 0 16614
[TEST ] 49 ----------------
16653 0 16614 0
[TEST ] 50 ----------------
9 16644 12 16602
[TEST ] 51 ----------------
0 16653 0 16614
[TEST ] 52 ----------------
14579 2074 15006 1608
[TEST ] 53 ----------------
16653 0 16614 0
[TEST ] 54 ----------------
0 16653 0 16614
[TEST ] 55 ----------------
6522 10131 7189 9425
[TEST ] 56 ----------------
182 16471 193 16421
[TEST ] 57 ----------------
559 16094 425 16189
[TEST ] 58 ----------------
16647 6 16610 4
[TEST ] 59 ----------------
15713 940 15769 845
[TEST ] 60 ----------------
382 16271 404 16210
[TEST ] 61 ----------------
16636 17 16602 12
[TEST ] 62 ----------------
16653 0 16614 0
[TEST ] 63 ----------------
16395 258 16400 214
[TEST ] 64 ----------------
13716 2937 12529 4085
[TEST ] 65 ----------------
16653 0 16614 0
[TEST ] 66 ----------------
16653 0 16614 0
[TEST ] 67 ----------------
3739 12914 4308 12306
[TEST ] 68 ----------------
16653 0 16614 0
[TEST ] 69 ----------------
13331 3322 13199 3415
[TEST ] 70 ----------------
16651 2 16613 1
[TEST ] 71 ----------------
16653 0 16614 0
[TEST ] 72 ----------------
0 16653 0 16614
[TEST ] 73 ----------------
16643 10 16614 0
[TEST ] 74 ----------------
16653 0 16614 0
[TEST ] 75 ----------------
1 16652 0 16614
[TEST ] 76 ----------------
0 16653 0 16614
[TEST ] 77 ----------------
16653 0 16614 0
[TEST ] 78 ----------------
0 16653 0 16614
[TEST ] 79 ----------------
10154 6499 9567 7047
[TEST ] 80 ----------------
7681 8972 6136 10478
[TEST ] 81 ----------------
0 16653 0 16614
[TEST ] 82 ----------------
0 16653 0 16614
[TEST ] 83 ----------------
0 16653 0 16614
[TEST ] 84 ----------------
16653 0 16614 0
[TEST ] 85 ----------------
16653 0 16614 0
[TEST ] 86 ----------------
16653 0 16614 0
[TEST ] 87 ----------------
0 16653 0 16614
[TEST ] 88 ----------------
0 16653 0 16614
[TEST ] 89 ----------------
0 16653 0 16614
[TEST ] 90 ----------------
16653 0 16614 0
[TEST ] 91 ----------------
16653 0 16614 0
[TEST ] 92 ----------------
16653 0 16614 0
[TEST ] 93 ----------------
0 16653 0 16614
[TEST ] 94 ----------------
3496 13157 3801 12813
[TEST ] 95 ----------------
16653 0 16614 0
[TEST ] 96 ----------------
16653 0 16614 0
[TEST ] 97 ----------------
0 16653 0 16614
[TEST ] 98 ----------------
16653 0 16614 0
[TEST ] 99 ----------------
16653 0 16614 0
[TEST ] 100 ----------------
16653 0 16614 0
[TEST ] 101 ----------------
16653 0 16614 0
[TEST ] 102 ----------------
4 16649 2 16612
[TEST ] 103 ----------------
16653 0 16614 0
[TEST ] 104 ----------------
16653 0 16614 0
[TEST ] 105 ----------------
16653 0 16614 0
[TEST ] 106 ----------------
16653 0 16614 0
[TEST ] 107 ----------------
0 16653 0 16614
[TEST ] 108 ----------------
0 16653 0 16614
[TEST ] 109 ----------------
11079 5574 11154 5460
[TEST ] 110 ----------------
0 16653 0 16614
[TEST ] 111 ----------------
16653 0 16614 0
[TEST ] 112 ----------------
13116 3537 12797 3817
[TEST ] 113 ----------------
16653 0 16614 0
[TEST ] 114 ----------------
16653 0 16614 0
[TEST ] 115 ----------------
16653 0 16614 0
[TEST ] 116 ----------------
16653 0 16614 0
[TEST ] 117 ----------------
9166 7487 9235 7379
[TEST ] 118 ----------------
0 16653 0 16614
[TEST ] 119 ----------------
15220 1433 15249 1365
[TEST ] 120 ----------------
16653 0 16614 0
[TEST ] 121 ----------------
16653 0 16614 0
[TEST ] 122 ----------------
16653 0 16614 0
[TEST ] 123 ----------------
0 16653 0 16614
[TEST ] 124 ----------------
16653 0 16614 0
[TEST ] 125 ----------------
0 16653 0 16614
[TEST ] 126 ----------------
16653 0 16614 0
[TEST ] 127 ----------------
16653 0 16614 0
[TEST ] 128 ----------------
12997 3656 12861 3753
[TEST ] 129 ----------------
0 16653 0 16614
[TEST ] 130 ----------------
16653 0 16614 0
[TEST ] 131 ----------------
16653 0 16614 0
[TEST ] 132 ----------------
0 16653 0 16614
[TEST ] 133 ----------------
16653 0 16614 0
[TEST ] 134 ----------------
